address,furnish_type,apartment_type,bedrooms,bathrooms,rent
"Egerton Terrace, Knightsbridge, London, UK, SW3",Part furnished,Apartment,2,2,"£4,333 pcm"
"Egerton Terrace, Knightsbridge, London, UK, SW3",Part furnished,Apartment,2,2,"£4,333 pcm"
"The Tower, 1 St. George Wharf, Vauxhall, SW8",Furnished,Apartment,1,1,"£3,000 pcm"
"The Tower, 1 St. George Wharf, Vauxhall, SW8",Furnished,Apartment,1,1,"£3,000 pcm"
"White Lodge, London, W5",Furnished,Flat,3,1,"£2,399 pcm"
"White Lodge, London, W5",Furnished,Flat,3,1,"£2,399 pcm"
"King Street *Short Let Property*, London, N2",Furnished,Flat,2,1,"£3,000 pcm"
"King Street *Short Let Property*, London, N2",Furnished,Flat,2,1,"£3,000 pcm"
"Kinsale Close, London, NW7","Furnished or unfurnished, landlord is flexible",Terraced,5,3,"£4,400 pcm"
"Kinsale Close, London, NW7","Furnished or unfurnished, landlord is flexible",Terraced,5,3,"£4,400 pcm"
"Legacy Building, Embassy Gardens, Nine Elms, SW11",Furnished,Apartment,1,1,"£3,250 pcm"
"Legacy Building, Embassy Gardens, Nine Elms, SW11",Furnished,Apartment,1,1,"£3,250 pcm"
"Dudley Court, London, NW11",Unfurnished,Flat,3,2,"£2,750 pcm"
"Dudley Court, London, NW11",Unfurnished,Flat,3,2,"£2,750 pcm"
"Caspian Apartments, London, E14",Furnished,Flat,1,1,"£1,850 pcm"
"Caspian Apartments, London, E14",Furnished,Flat,1,1,"£1,850 pcm"
"New Providence Wharf, London, E14",Furnished,Flat,1,1,"£1,729 pcm"
"New Providence Wharf, London, E14",Furnished,Flat,1,1,"£1,729 pcm"
"Barchard St, London, SW18","Furnished or unfurnished, landlord is flexible",Terraced,2,1,"£2,599 pcm"
"Barchard St, London, SW18","Furnished or unfurnished, landlord is flexible",Terraced,2,1,"£2,599 pcm"
"Frances Road, London, E4",Furnished,Maisonette,2,1,"£1,620 pcm"
